Tabela 1.3.27.1 - Pessoas de 10 anos ou mais de idade, por situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015;;;;;;;;;;Tabela 1.3.27.2 - Distribuição das pessoas de 10 anos ou mais de idade, por situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015

Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Pessoas de 10 anos ou mais de idade (1000 pessoas);;;;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Distribuição das pessoas de 10 anos ou mais de idade (%)
;Total;Posse de telefone móvel celular para uso pessoal;;Situação de ocupação na semana de referência;;;;;;;Total;Posse de telefone móvel celular para uso pessoal;;Situação de ocupação na semana de referência
;;;;Ocupadas;;;Não ocupadas;;;;;;;Ocupadas;;;Não ocupadas
;;;;Total;Posse de telefone móvel celular para uso pessoal;;Total;Posse de telefone móvel celular para uso pessoal;;;;;;Total;Posse de telefone móvel celular para uso pessoal;;Total;Posse de telefone móvel celular para uso pessoal
;;Utilizaram;Não utilizaram;;Possuíam;Não possuíam;;Possuíam;Não possuíam;;;Utilizaram;Não utilizaram;;Possuíam;Não possuíam;;Possuíam;Não possuíam
Região Metropolitana do Rio de Janeiro;  10 770;  9 074;  1 696;  5 519;  5 171;   348;  5 251;  3 903;  1 349;Região Metropolitana do Rio de Janeiro;100,0;84,3;15,7;100,0;93,7;6,3;100,0;74,3;25,7
São Paulo;  39 144;  32 834;  6 311;  21 362;  19 952;  1 410;  17 782;  12 882;  4 901;São Paulo;100,0;83,9;16,1;100,0;93,4;6,6;100,0;72,4;27,6
Região Metropolitana de São Paulo;  18 604;  15 824;  2 781;  10 199;  9 595;   604;  8 405;  6 229;  2 176;Região Metropolitana de São Paulo;100,0;85,1;14,9;100,0;94,1;5,9;100,0;74,1;25,9
Sul;  25 772;  21 350;  4 421;  14 995;  13 654;  1 342;  10 777;  7 697;  3 080;Sul;100,0;82,8;17,2;100,0;91,1;8,9;100,0;71,4;28,6
Paraná;  9 746;  7 947;  1 799;  5 571;  5 075;   496;  4 174;  2 872;  1 302;Paraná;100,0;81,5;18,5;100,0;91,1;8,9;100,0;68,8;31,2
Região Metropolitana de Curitiba;  3 030;  2 554;   476;  1 707;  1 610;   97;  1 324;   944;   379;Região Metropolitana de Curitiba;100,0;84,3;15,7;100,0;94,3;5,7;100,0;71,3;28,7
Santa Catarina;  6 049;  4 902;  1 146;  3 528;  3 194;   334;  2 521;  1 708;   813;Santa Catarina;100,0;81,0;19,0;100,0;90,5;9,5;100,0;67,8;32,2
Rio Grande do Sul;  9 978;  8 501;  1 476;  5 896;  5 385;   511;  4 081;  3 117;   965;Rio Grande do Sul;100,0;85,2;14,8;100,0;91,3;8,7;100,0;76,4;23,6
Região Metropolitana de Porto Alegre;  3 723;  3 311;   412;  2 115;  2 024;   92;  1 607;  1 287;   320;Região Metropolitana de Porto Alegre;100,0;88,9;11,1;100,0;95,7;4,3;100,0;80,1;19,9
Centro-Oeste;  13 340;  11 590;  1 750;  7 642;  7 175;   467;  5 697;  4 415;  1 283;Centro-Oeste;100,0;86,9;13,1;100,0;93,9;6,1;100,0;77,5;22,5
Mato Grosso do Sul;  2 284;  1 980;   304;  1 352;  1 264;   88;   932;   716;   216;Mato Grosso do Sul;100,0;86,7;13,3;100,0;93,5;6,5;100,0;76,9;23,1
Mato Grosso;  2 766;  2 304;   462;  1 599;  1 451;   148;  1 167;   853;   314;Mato Grosso;100,0;83,3;16,7;100,0;90,7;9,3;100,0;73,1;26,9
Goiás;  5 731;  4 984;   747;  3 277;  3 088;   189;  2 454;  1 895;   558;Goiás;100,0;87,0;13,0;100,0;94,2;5,8;100,0;77,2;22,8
Distrito Federal;  2 559;  2 321;   238;  1 414;  1 372;   42;  1 145;   950;   195;Distrito Federal;100,0;90,7;9,3;100,0;97,0;3,0;100,0;82,9;17,1

Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.
