Tabela 1.3.28.1 - Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015;;;;;;;;;;Tabela 1.3.28.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015;;;;;;;;;;Tabela 1.3.28.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de pessoas de 10 anos ou mais de idade, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015

Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas);;;;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%);;;;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de pessoas de 10 anos ou mais de idade (%)
;Total (1);Classes de rendimento mensal (salário mínimo);;;;;;;;;Total (1);Classes de rendimento mensal (salário mínimo);;;;;;;;;Total (1);Classes de rendimento mensal (salário mínimo)
;;Sem rendi-mento (2);Até 1/2;Mais de 1/2 a 1;Mais de 1 a 2;Mais de 2 a 3;Mais de 3 a 5;Mais de 5 a 10;Mais de 10;;;Sem rendi-mento (2);Até 1/2;Mais de 1/2 a 1;Mais de 1 a 2;Mais de 2 a 3;Mais de 3 a 5;Mais de 5 a 10;Mais de 10;;;Sem rendi-mento (2);Até 1/2;Mais de 1/2 a 1;Mais de 1 a 2;Mais de 2 a 3;Mais de 3 a 5;Mais de 5 a 10;Mais de 10
Região Metropolitana de São Paulo;  15 824;  4 471;   390;   408;  4 102;  2 514;  1 710;  1 140;   630;Região Metropolitana de São Paulo;100,0;28,3;2,5;2,6;25,9;15,9;10,8;7,2;4,0;Região Metropolitana de São Paulo;85,1;80,6;80,8;83,3;79,9;90,5;93,0;97,0;98,0
Sul;  21 350;  4 924;   650;   820;  6 581;  3 796;  2 394;  1 397;   560;Sul;100,0;23,1;3,0;3,8;30,8;17,8;11,2;6,5;2,6;Sul;82,8;76,7;75,7;84,7;79,0;87,8;93,1;95,5;96,8
Paraná;  7 947;  1 966;   255;   319;  2 421;  1 328;   849;   515;   221;Paraná;100,0;24,7;3,2;4,0;30,5;16,7;10,7;6,5;2,8;Paraná;81,5;74,9;72,1;82,4;77,1;88,1;95,3;96,5;97,3
Região Metropolitana de Curitiba;  2 554;   643;   46;   69;   669;   466;   328;   206;   109;Região Metropolitana de Curitiba;100,0;25,2;1,8;2,7;26,2;18,3;12,8;8,1;4,2;Região Metropolitana de Curitiba;84,3;76,6;72,5;85,6;80,1;88,7;96,1;97,3;97,0
Santa Catarina;  4 902;  1 081;   82;   138;  1 356;  1 035;   671;   351;   124;Santa Catarina;100,0;22,0;1,7;2,8;27,7;21,1;13,7;7,2;2,5;Santa Catarina;81,0;75,3;70,8;81,4;74,6;86,2;91,8;94,6;95,6
Rio Grande do Sul;  8 501;  1 877;   313;   363;  2 804;  1 433;   874;   531;   216;Rio Grande do Sul;100,0;22,1;3,7;4,3;33,0;16,9;10,3;6,2;2,5;Rio Grande do Sul;85,2;79,7;80,3;88,1;83,1;88,7;92,0;95,1;97,1
Região Metropolitana de Porto Alegre;  3 311;   750;   84;   105;  1 058;   550;   358;   220;   120;Região Metropolitana de Porto Alegre;100,0;22,7;2,6;3,2;32,0;16,6;10,8;6,6;3,6;Região Metropolitana de Porto Alegre;88,9;82,6;86,1;87,9;87,5;93,3;94,9;96,7;96,5
Centro-Oeste;  11 590;  3 047;   462;   457;  3 618;  1 724;  1 055;   742;   409;Centro-Oeste;100,0;26,3;4,0;3,9;31,2;14,9;9,1;6,4;3,5;Centro-Oeste;86,9;81,0;81,3;88,4;84,8;92,3;95,8;98,0;98,7
Mato Grosso do Sul;  1 980;   477;   93;   85;   651;   296;   191;   131;   55;Mato Grosso do Sul;100,0;24,1;4,7;4,3;32,9;14,9;9,7;6,6;2,8;Mato Grosso do Sul;86,7;79,8;78,4;88,1;85,1;92,5;96,9;98,7;99,2
Mato Grosso;  2 304;   598;   107;   86;   719;   374;   225;   122;   49;Mato Grosso;100,0;25,9;4,6;3,7;31,2;16,2;9,8;5,3;2,1;Mato Grosso;83,3;76,5;79,7;83,5;79,9;91,3;95,0;98,2;99,1
Goiás;  4 984;  1 316;   210;   217;  1 700;   765;   430;   236;   76;Goiás;100,0;26,4;4,2;4,3;34,1;15,4;8,6;4,7;1,5;Goiás;87,0;81,5;83,0;89,5;85,8;92,1;95,8;97,6;98,3
Distrito Federal;  2 321;   656;   52;   69;   548;   289;   208;   254;   229;Distrito Federal;100,0;28,3;2,3;3,0;23,6;12,5;9,0;10,9;9,9;Distrito Federal;90,7;85,3;83,0;92,2;88,6;94,0;95,8;97,9;98,6

Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.
(1) Inclusive as pessoas sem declaração de rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.;;;;;;;;;;(1) Inclusive as pessoas sem declaração de rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.;;;;;;;;;;(1) Inclusive as pessoas sem declaração de rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.
