03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;4;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;5;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;;;;;;;
11_Tab_1.3.9.1_e_1.3.9.2.csv;11_Tab_1.3.9.1_e_1.3.9.2;28;Possuíam;  41 552;  2 700;  9 645;  19 195;  6 582;  3 431;Possuíam;90,1;82,5;84,3;93,1;91,9;95,1;;;;;;;;;;;;;;;;
11_Tab_1.3.9.1_e_1.3.9.2.csv;11_Tab_1.3.9.1_e_1.3.9.2;29;Não possuíam;  4 551;   572;  1 798;  1 422;   581;   178;Não possuíam;9,9;17,5;15,7;6,9;8,1;4,9;;;;;;;;;;;;;;;;
11_Tab_1.3.9.1_e_1.3.9.2.csv;11_Tab_1.3.9.1_e_1.3.9.2;30;Não economicamente ativas;  46 064;  3 985;  13 786;  18 944;  6 107;  3 243;Não economicamente ativas;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
11_Tab_1.3.9.1_e_1.3.9.2.csv;11_Tab_1.3.9.1_e_1.3.9.2;31;Possuíam;  31 122;  2 432;  8 449;  13 374;  4 333;  2 533;Possuíam;67,6;61,0;61,3;70,6;70,9;78,1;;;;;;;;;;;;;;;;
11_Tab_1.3.9.1_e_1.3.9.2.csv;11_Tab_1.3.9.1_e_1.3.9.2;32;Não possuíam;  14 942;  1 552;  5 337;  5 569;  1 774;   710;Não possuíam;32,4;39,0;38,7;29,4;29,1;21,9;;;;;;;;;;;;;;;;
11_Tab_1.3.9.1_e_1.3.9.2.csv;11_Tab_1.3.9.1_e_1.3.9.2;34;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;1;Tabela 1.3.10.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015;;;;;;;Tabela 1.3.10.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015;;;;;;;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;3;Sexo, situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal;Pessoas de 10 anos ou mais de idade (1000 pessoas);;;;;;Sexo, situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal;Distribuição das pessoas de 10 anos ou mais de idade (%);;;;;;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;4;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;5;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;6;Total;  177 657;  14 537;  48 410;  75 599;  25 772;  13 340;Total;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;7;Possuíam;  139 057;  9 971;  33 690;  62 455;  21 350;  11 590;Possuíam;78,3;68,6;69,6;82,6;82,8;86,9;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;8;Não possuíam;  38 600;  4 566;  14 720;  13 144;  4 421;  1 750;Não possuíam;21,7;31,4;30,4;17,4;17,2;13,1;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;9;Ocupadas;  95 380;  7 559;  24 129;  41 056;  14 995;  7 642;Ocupadas;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;10;Possuíam;  83 200;  5 781;  18 945;  37 646;  13 654;  7 175;Possuíam;87,2;76,5;78,5;91,7;91,1;93,9;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;11;Não possuíam;  12 180;  1 778;  5 184;  3 409;  1 342;   467;Não possuíam;12,8;23,5;21,5;8,3;8,9;6,1;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;12;Não ocupadas;  82 276;  6 978;  24 281;  34 543;  10 777;  5 697;Não ocupadas;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;13;Possuíam;  55 856;  4 191;  14 746;  24 809;  7 697;  4 415;Possuíam;67,9;60,1;60,7;71,8;71,4;77,5;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;14;Não possuíam;  26 420;  2 787;  9 536;  9 734;  3 080;  1 283;Não possuíam;32,1;39,9;39,3;28,2;28,6;22,5;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;15;Homens;  85 489;  7 281;  23 182;  36 038;  12 502;  6 487;Homens;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;16;Possuíam;  66 382;  4 839;  15 596;  29 886;  10 436;  5 625;Possuíam;77,6;66,5;67,3;82,9;83,5;86,7;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;17;Não possuíam;  19 107;  2 441;  7 585;  6 152;  2 066;   862;Não possuíam;22,4;33,5;32,7;17,1;16,5;13,3;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;18;Ocupados;  54 704;  4 692;  14 128;  23 051;  8 442;  4 392;Ocupados;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;19;Possuíam;  46 651;  3 438;  10 584;  20 902;  7 639;  4 088;Possuíam;85,3;73,3;74,9;90,7;90,5;93,1;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;20;Não possuíam;  8 054;  1 254;  3 544;  2 150;   802;   303;Não possuíam;14,7;26,7;25,1;9,3;9,5;6,9;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;21;Não ocupados;  30 785;  2 589;  9 054;  12 987;  4 060;  2 096;Não ocupados;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;22;Possuíam;  19 732;  1 402;  5 013;  8 984;  2 797;  1 537;Possuíam;64,1;54,1;55,4;69,2;68,9;73,3;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;23;Não possuíam;  11 053;  1 187;  4 041;  4 003;  1 264;   559;Não possuíam;35,9;45,9;44,6;30,8;31,1;26,7;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;24;Mulheres;  92 167;  7 256;  25 228;  39 561;  13 270;  6 852;Mulheres;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;25;Possuíam;  72 674;  5 132;  18 094;  32 569;  10 915;  5 964;Possuíam;78,9;70,7;71,7;82,3;82,3;87,0;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;26;Não possuíam;  19 493;  2 124;  7 134;  6 991;  2 355;   888;Não possuíam;21,1;29,3;28,3;17,7;17,7;13,0;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;27;Ocupadas;  40 676;  2 867;  10 001;  18 004;  6 553;  3 251;Ocupadas;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;28;Possuíam;  36 550;  2 343;  8 361;  16 745;  6 014;  3 087;Possuíam;89,9;81,7;83,6;93,0;91,8;95,0;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;29;Não possuíam;  4 126;   524;  1 640;  1 260;   539;   164;Não possuíam;10,1;18,3;16,4;7,0;8,2;5,0;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;30;Não ocupadas;  51 491;  4 389;  15 227;  21 556;  6 716;  3 602;Não ocupadas;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;31;Possuíam;  36 125;  2 789;  9 733;  15 825;  4 900;  2 878;Possuíam;70,2;63,5;63,9;73,4;73,0;79,9;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;32;Não possuíam;  15 367;  1 600;  5 495;  5 732;  1 816;   724;Não possuíam;29,8;36,5;36,1;26,6;27,0;20,1;;;;;;;;;;;;;;;;
12_Tab_1.3.10.1_e_1.3.10.2.csv;12_Tab_1.3.10.1_e_1.3.10.2;34;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;1;Tabela 1.3.11.1 - Estudantes de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015;;;;;;;Tabela 1.3.11.2 - Distribuição dos estudantes de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015;;;;;;;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;3;Sexo, situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal;Estudantes de 10 anos ou mais de idade (1000 pessoas);;;;;;Sexo, situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal;Distribuição dos estudantes de 10 anos ou mais de idade (%);;;;;;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;4;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;5;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;6;Total;  36 308;  3 758;  10 812;  14 038;  4 781;  2 918;Total;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;7;Possuíam;  28 964;  2 336;  7 441;  12 419;  4 217;  2 551;Possuíam;79,8;62,2;68,8;88,5;88,2;87,4;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;8;Não possuíam;  7 344;  1 421;  3 371;  1 619;   564;   368;Não possuíam;20,2;37,8;31,2;11,5;11,8;12,6;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;9;Ocupadas;  8 409;   831;  2 240;  3 199;  1 360;   778;Ocupadas;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;10;Possuíam;  7 350;   592;  1 721;  3 023;  1 289;   725;Possuíam;87,4;71,3;76,8;94,5;94,7;93,2;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;11;Não possuíam;  1 058;   239;   519;   176;   72;   53;Não possuíam;12,6;28,7;23,2;5,5;5,3;6,8;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;12;Não ocupadas;  27 899;  2 927;  8 572;  10 839;  3 421;  2 141;Não ocupadas;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;13;Possuíam;  21 613;  1 744;  5 720;  9 395;  2 929;  1 826;Possuíam;77,5;59,6;66,7;86,7;85,6;85,3;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;14;Não possuíam;  6 286;  1 183;  2 852;  1 443;   492;   315;Não possuíam;22,5;40,4;33,3;13,3;14,4;14,7;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;15;Homens;  17 814;  1 863;  5 330;  6 838;  2 365;  1 418;Homens;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;16;Possuíam;  13 924;  1 109;  3 527;  5 988;  2 065;  1 234;Possuíam;78,2;59,5;66,2;87,6;87,3;87,0;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;17;Não possuíam;  3 891;   754;  1 802;   850;   300;   185;Não possuíam;21,8;40,5;33,8;12,4;12,7;13,0;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;18;Ocupados;  4 444;   484;  1 209;  1 663;   695;   392;Ocupados;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;19;Possuíam;  3 744;   321;   846;  1 561;   651;   366;Possuíam;84,3;66,3;70,0;93,9;93,6;93,3;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;20;Não possuíam;   699;   163;   363;   102;   45;   26;Não possuíam;15,7;33,7;30,0;6,1;6,4;6,7;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;21;Não ocupados;  13 371;  1 379;  4 121;  5 176;  1 669;  1 026;Não ocupados;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;22;Possuíam;  10 179;   788;  2 681;  4 428;  1 414;   868;Possuíam;76,1;57,1;65,1;85,5;84,7;84,6;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;23;Não possuíam;  3 191;   591;  1 439;   748;   255;   158;Não possuíam;23,9;42,9;34,9;14,5;15,3;15,4;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;24;Mulheres;  18 493;  1 894;  5 482;  7 200;  2 417;  1 500;Mulheres;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;25;Possuíam;  15 040;  1 227;  3 913;  6 431;  2 152;  1 317;Possuíam;81,3;64,8;71,4;89,3;89,1;87,8;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;26;Não possuíam;  3 453;   667;  1 569;   769;   264;   183;Não possuíam;18,7;35,2;28,6;10,7;10,9;12,2;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;27;Ocupadas;  3 965;   347;  1 031;  1 537;   665;   386;Ocupadas;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;28;Possuíam;  3 606;   271;   875;  1 463;   638;   359;Possuíam;90,9;78,2;84,9;95,2;96,0;93,1;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;29;Não possuíam;   359;   76;   156;   74;   27;   27;Não possuíam;9,1;21,8;15,1;4,8;4,0;6,9;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;30;Não ocupadas;  14 528;  1 547;  4 452;  5 663;  1 752;  1 115;Não ocupadas;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;31;Possuíam;  11 434;   956;  3 038;  4 968;  1 514;   958;Possuíam;78,7;61,8;68,3;87,7;86,4;85,9;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;32;Não possuíam;  3 094;   592;  1 413;   695;   237;   157;Não possuíam;21,3;38,2;31,7;12,3;13,6;14,1;;;;;;;;;;;;;;;;
13_Tab_1.3.11.1_e_1.3.11.2.csv;13_Tab_1.3.11.1_e_1.3.11.2;34;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;1;Tabela 1.3.12.1 - Pessoas de 10 anos ou mais de idade que não eram estudantes, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015;;;;;;;Tabela 1.3.12.2 - Distribuição das pessoas de 10 anos ou mais de idade que não eram estudantes, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015;;;;;;;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;3;Sexo, situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal;Pessoas de 10 anos ou mais de idade que não eram estudantes (1000 pessoas);;;;;;Sexo, situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal;Distribuição das pessoas de 10 anos ou mais de idade que não eram estudantes (%);;;;;;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;4;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;5;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;6;Total;  141 349;  10 779;  37 598;  61 561;  20 991;  10 421;Total;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;7;Possuíam;  73 119;  4 379;  14 390;  36 828;  11 542;  5 980;Possuíam;51,7;40,6;38,3;59,8;55,0;57,4;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;8;Não possuíam;  68 230;  6 400;  23 208;  24 732;  9 449;  4 441;Não possuíam;48,3;59,4;61,7;40,2;45,0;42,6;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;9;Ocupadas;  86 972;  6 728;  21 889;  37 856;  13 635;  6 864;Ocupadas;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;10;Possuíam;  53 139;  3 111;  10 038;  26 610;  8 855;  4 524;Possuíam;61,1;46,2;45,9;70,3;64,9;65,9;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;11;Não possuíam;  33 833;  3 617;  11 851;  11 246;  4 779;  2 341;Não possuíam;38,9;53,8;54,1;29,7;35,1;34,1;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;12;Não ocupadas;  54 377;  4 051;  15 709;  23 704;  7 356;  3 557;Não ocupadas;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;13;Possuíam;  19 981;  1 268;  4 352;  10 218;  2 686;  1 457;Possuíam;36,7;31,3;27,7;43,1;36,5;41,0;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;14;Não possuíam;  34 397;  2 784;  11 357;  13 486;  4 670;  2 100;Não possuíam;63,3;68,7;72,3;56,9;63,5;59,0;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;15;Homens;  67 675;  5 417;  17 852;  29 200;  10 137;  5 069;Homens;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;16;Possuíam;  34 668;  2 090;  6 604;  17 527;  5 596;  2 850;Possuíam;51,2;38,6;37,0;60,0;55,2;56,2;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;17;Não possuíam;  33 007;  3 327;  11 248;  11 673;  4 541;  2 219;Não possuíam;48,8;61,4;63,0;40,0;44,8;43,8;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;18;Ocupados;  50 261;  4 208;  12 919;  21 389;  7 746;  3 999;Ocupados;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;19;Possuíam;  28 722;  1 757;  5 317;  14 376;  4 802;  2 470;Possuíam;57,1;41,7;41,2;67,2;62,0;61,8;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;20;Não possuíam;  21 539;  2 451;  7 601;  7 012;  2 945;  1 529;Não possuíam;42,9;58,3;58,8;32,8;38,0;38,2;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;21;Não ocupados;  17 414;  1 209;  4 933;  7 811;  2 391;  1 070;Não ocupados;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;22;Possuíam;  5 946;   334;  1 287;  3 150;   795;   380;Possuíam;34,1;27,6;26,1;40,3;33,2;35,5;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;23;Não possuíam;  11 469;   876;  3 646;  4 661;  1 596;   690;Não possuíam;65,9;72,4;73,9;59,7;66,8;64,5;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;24;Mulheres;  73 674;  5 362;  19 746;  32 361;  10 853;  5 352;Mulheres;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;25;Possuíam;  38 451;  2 289;  7 786;  19 301;  5 945;  3 130;Possuíam;52,2;42,7;39,4;59,6;54,8;58,5;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;26;Não possuíam;  35 223;  3 073;  11 960;  13 059;  4 908;  2 222;Não possuíam;47,8;57,3;60,6;40,4;45,2;41,5;;;;;;;;;;;;;;;;
14_Tab_1.3.12.1_e_1.3.12.2.csv;14_Tab_1.3.12.1_e_1.3.12.2;27;Ocupadas;  36 711;  2 520;  8 970;  16 467;  5 888;  2 865;Ocupadas;100,0;100,0;100,0;100,0;100,0;100,0;;;;;;;;;;;;;;;;
