03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;4;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;5;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;13;35 a 39 anos;  13 851;  1 054;  3 390;  6 228;  1 973;  1 207;35 a 39 anos;10,0;10,6;10,1;10,0;9,2;10,4;35 a 39 anos;87,9;78,3;79,4;92,7;92,2;94,0;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;14;40 a 44 anos;  12 565;   885;  2 906;  5 800;  1 897;  1 076;40 a 44 anos;9,0;8,9;8,6;9,3;8,9;9,3;40 a 44 anos;86,4;77,2;77,2;91,1;90,4;93,0;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;15;45 a 49 anos;  11 461;   752;  2 650;  5 224;  1 836;   999;45 a 49 anos;8,2;7,5;7,9;8,4;8,6;8,6;45 a 49 anos;84,2;76,0;75,4;88,2;87,8;91,8;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;16;50 a 54 anos;  10 671;   656;  2 301;  5 046;  1 816;   851;50 a 54 anos;7,7;6,6;6,8;8,1;8,5;7,3;50 a 54 anos;82,2;74,2;72,6;86,1;85,0;91,2;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;17;55 a 59 anos;  8 502;   480;  1 786;  4 054;  1 514;   669;55 a 59 anos;6,1;4,8;5,3;6,5;7,1;5,8;55 a 59 anos;78,0;69,1;68,7;81,2;82,2;86,6;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;18;60 anos ou mais;  16 628;   915;  3 558;  7 942;  2 895;  1 317;60 anos ou mais;12,0;9,2;10,6;12,7;13,6;11,4;60 anos ou mais;56,6;51,7;46,9;59,0;61,9;69,9;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;19;Homens;  66 382;  4 839;  15 596;  29 886;  10 436;  5 625;Homens;100,0;100,0;100,0;100,0;100,0;100,0;Homens;77,6;66,5;67,3;82,9;83,5;86,7;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;20;10 a 14 anos;  4 084;   289;  1 053;  1 783;   573;   386;10 a 14 anos;6,2;6,0;6,8;6,0;5,5;6,9;10 a 14 anos;50,4;33,2;40,3;59,6;57,1;61,5;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;21;15 a 17 anos;  4 234;   353;  1 131;  1 742;   650;   358;15 a 17 anos;6,4;7,3;7,3;5,8;6,2;6,4;15 a 17 anos;78,1;62,7;67,9;85,0;87,2;89,3;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;22;18 ou 19 anos;  2 971;   239;   799;  1 270;   409;   253;18 ou 19 anos;4,5;4,9;5,1;4,3;3,9;4,5;18 ou 19 anos;85,2;72,3;77,6;89,9;92,6;93,2;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;23;20 a 24 anos;  6 998;   585;  1 790;  3 002;  1 033;   588;20 a 24 anos;10,5;12,1;11,5;10,0;9,9;10,5;20 a 24 anos;88,0;76,4;81,3;92,4;92,8;94,1;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;24;25 a 29 anos;  6 677;   537;  1 711;  2 904;   981;   545;25 a 29 anos;10,1;11,1;11,0;9,7;9,4;9,7;25 a 29 anos;88,7;79,6;81,0;93,1;93,9;94,6;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;25;30 a 34 anos;  6 951;   549;  1 712;  3 047;  1 061;   584;30 a 34 anos;10,5;11,3;11,0;10,2;10,2;10,4;30 a 34 anos;88,0;78,3;79,5;92,8;93,2;93,5;;;;;;;;;
03_Tab_1.3.1.1_a_1.3.1.3.csv;03_Tab_1.3.1.1_a_1.3.1.3;26;35 a 39 anos;  6 574;   500;  1 548;  2 973;   975;   578;35 a 39 anos;9,9;10,3;9,9;9,9;9,3;10,3;35 a 39 anos;86,9;76,7;76,7;92,2;93,0;93,6;;;;;;;;;
